File_name,Calorie_label
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Meena_Lee_golf_f_cm_np1_ba_med_2.avi,330
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Lorena_Ochoa_et_Paula_Creamer_golf_f_cm_np1_le_med_1.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_5.avi,350
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Rate_my_golf_swing__driver_and_9_iron_golf_f_cm_np1_ri_med_1.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Paula_Creamer_-_Sybase_Classic_2009_golf_f_cm_np1_fr_med_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Anna_Rawson_LPGA_golf_f_nm_np1_ri_goo_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Na_Yeon_Choi_practice_1_golf_f_nm_np1_ri_goo_0.avi,330
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Golf_Swing_#6Iron_golf_f_cm_np1_fr_med_0.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Iain_Powell_Driving_at_Ingon_Manor_GC_golf_f_cm_np1_ri_med_0.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Ben_Hogan_Swing_golf_f_nm_np1_ri_med_1.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Casie_Cathrea_golf_f_nm_np1_fr_med_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_5.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Ian_Poulter_golf_f_cm_np1_le_goo_0.avi,335
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_fr_med_0.avi,329
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_1.avi,329
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Powergolf_Golf_Superdrive_mit_dem_Driver_340_Meter_golf_f_cm_np1_fr_med_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Mike_Weir_golf_f_cm_np1_fr_med_1.avi,329
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Charles_Barkley_Golfing_golf_f_cm_np1_fr_med_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Geoff_Ogilvy_golf_f_cm_np1_fr_goo_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Michelle_Wie__Golf_Swing_golf_f_cm_np1_fr_med_0.avi,338
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Eric_Axley_golf_f_cm_np1_le_goo_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Jeff_Ritter_-_The_Transition_golf_f_nm_np1_ri_med_0.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Dr__Feels_Golf_Wedge_Secret_golf_f_cm_np1_ri_med_0.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Meena_Lee_golf_f_cm_np1_ba_med_0.avi,329
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Tiger_Woods_Super_Drive_golf_f_nm_np1_ri_goo_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Golfswing_golf_f_cm_np1_fr_goo_0.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/golf_golf_f_nm_np1_ri_goo_0.avi,328
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_4.avi,327
/cvhci/data/activity/Calorie/calorie_common_dataset/A01/Huge_Drive!_Please_Rate_It_golf_f_cm_np1_ri_goo_0.avi,328
